FYDP Year,Type,Force,Program Number,Program Name,Project Number,Project Name,2011,2012,2013,2014,2015,2016,2017
2013,RDT&E,Air Force,0601102F,Defense Research Sciences,612308,Propulsion,33.329,NA,NA,NA,NA,NA,NA
2013,RDT&E,Air Force,0601102F,Defense Research Sciences,612306,Materials,30.681,NA,NA,NA,NA,NA,NA
2013,RDT&E,Air Force,0602102F,Materials,624347,"Materials for Structures, Propulsion, and Subsystems",85.962,89.908,58.464,63.328,55.443,55.326,55.289
2013,RDT&E,Air Force,0602203F,Aerospace Propulsion,623012,Advanced Propulsion Technology,22.074,20.367,23.637,23.345,22.16,24.276,27.254
2013,RDT&E,Air Force,0602203F,Aerospace Propulsion,623048,Combustion and Mechanical Systems,17.734,20.069,15.874,13.886,12.744,12.829,13.103
2013,RDT&E,Air Force,0602203F,Aerospace Propulsion,623066,Turbine Engine Technology,64.278,67.702,102.188,75.523,42.355,42.628,43.52
2013,RDT&E,Air Force,0602203F,Aerospace Propulsion,625330,Aerospace Fuel Technology,6.48,6.239,5.494,5.475,5.275,5.312,5.426
2013,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,632480,Aerospace Fuels,9.091,6.768,3.581,2.452,4.55,4.573,4.56
2013,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,634921,Aircraft Propulsion Subsystems Int,40.066,17.706,77.716,68.076,52.129,68.848,68.821
2013,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,63681B,Advanced Turbine Engine Gas Generator,33.646,32.988,34.789,32.301,18.612,18.695,18.663
2013,RDT&E,Navy,0604214N,AV-8B Aircraft - Engine Dev,652,AV-8B,22.063,30.676,32.789,35.932,15.057,18.772,19.277
2013,RDT&E,Navy,0205633N,Aviation Improvements,1355,Propulsion and Power Component Improvement Program,50.161,62.379,61.296,70.809,91.074,95.005,96.746
2013,RDT&E,Army,0601102A,Defense Research Sciences,F20,Adv Propulsion Rsch,3.348,3.99,4.211,4.256,4.307,4.283,4.357
2013,RDT&E,Army,0602211A,Aviation Technology,47B,Veh Prop & Struct Tech,5.305,5.567,5.709,6.203,6.514,6.799,6.912
2013,RDT&E,Army,0603003A,Aviation Advanced Technology,447,ACFT Demo Engines,10.57,9.62,9.909,8.276,10.251,9.772,8.478
2013,RDT&E,Army,0203752A,Aircraft Engine Component Improvement Program,106,A/C Compon Improv Prog,0.688,0.822,0.898,0.423,0.326,0.33,0.334
2013,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program (CIP),671012,Aircraft Engine Component Improvement Program,115.29,141.093,156.236,82.837,161.881,157.976,159.761
2013,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program (CIP),675365,F-35,NA,31.874,31.748,31.532,31.55,32.427,32.855
