FYDP.Year,Type,Program.Number,Program.Name,Project.Number,Project.Name,FY,Amount
2003,RDT&E,604800,F136,0,F136,2001,0
2003,RDT&E,604800,F136,0,F136,2002,44.9
2003,RDT&E,604800,F136,0,F136,2003,150
2003,RDT&E,604800,F136,0,F136,2004,167.3948366
2003,RDT&E,604800,F136,0,F136,2005,214.9799578
2003,RDT&E,604800,F136,0,F136,2006,171.626611
2003,RDT&E,604800,F136,0,F136,2007,145.9027048
2004,RDT&E,604800,F136,0,F136,2002,26.921
2004,RDT&E,604800,F136,0,F136,2003,174.684
2004,RDT&E,604800,F136,0,F136,2004,100
2004,RDT&E,604800,F136,0,F136,2005,102.3515841
2004,RDT&E,604800,F136,0,F136,2006,91.43378007
2004,RDT&E,604800,F136,0,F136,2007,75.31459704
2004,RDT&E,604800,F136,0,F136,2008,59.82688716
2004,RDT&E,604800,F136,0,F136,2009,48.18598922
2005,RDT&E,604800,F136,0,F136,2003,220.817
2005,RDT&E,604800,F136,0,F136,2004,123.632
2005,RDT&E,604800,F136,0,F136,2005,233
2005,RDT&E,604800,F136,0,F136,2006,253.9850122
2005,RDT&E,604800,F136,0,F136,2007,228.5814402
2005,RDT&E,604800,F136,0,F136,2008,210.8977217
2005,RDT&E,604800,F136,0,F136,2009,168.2942247
2006,RDT&E,604800,F136,0,F136,2004,141.578
2006,RDT&E,604800,F136,0,F136,2005,231
2006,RDT&E,604800,F136,0,F136,2006,236
2006,RDT&E,604800,F136,0,F136,2007,370
2006,RDT&E,604800,F136,0,F136,2008,318.7388939
2006,RDT&E,604800,F136,0,F136,2009,255.7532114
2006,RDT&E,604800,F136,0,F136,2010,205.6881771
2006,RDT&E,604800,F136,0,F136,2011,131.459948
2007,RDT&E,604800,F136,0,F136,2005,212.232
2007,RDT&E,604800,F136,0,F136,2006,332.606
2007,RDT&E,604800,F136,0,F136,2007,0
2007,RDT&E,604800,F136,0,F136,2008,0
2007,RDT&E,604800,F136,0,F136,2009,0
2007,RDT&E,604800,F136,0,F136,2010,0
2007,RDT&E,604800,F136,0,F136,2011,0
2008,RDT&E,604800,F136,0,F136,2006,344.32
2008,RDT&E,604800,F136,0,F136,2007,340
2008,RDT&E,604800,F136,0,F136,2008,0
2008,RDT&E,604800,F136,0,F136,2009,0
2008,RDT&E,604800,F136,0,F136,2010,0
2008,RDT&E,604800,F136,0,F136,2011,0
2008,RDT&E,604800,F136,0,F136,2012,0
2008,RDT&E,604800,F136,0,F136,2013,0
2009,RDT&E,604800,F136,0,F136,2007,341.29
2009,RDT&E,604800,F136,0,F136,2008,480
2009,RDT&E,604800,F136,0,F136,2009,0
2009,RDT&E,604800,F136,0,F136,2010,0
2009,RDT&E,604800,F136,0,F136,2011,0
2009,RDT&E,604800,F136,0,F136,2012,0
2009,RDT&E,604800,F136,0,F136,2013,0
2010,RDT&E,604800,F136,0,F136,2008,463.609
2010,RDT&E,604800,F136,0,F136,2009,417
2010,RDT&E,604800,F136,0,F136,2010,0
2011,RDT&E,604800,F136,0,F136,2009,425.39
2011,RDT&E,604800,F136,0,F136,2010,429.108
2011,RDT&E,604800,F136,0,F136,2011,0
2011,RDT&E,604800,F136,0,F136,2012,0
2011,RDT&E,604800,F136,0,F136,2013,0
2011,RDT&E,604800,F136,0,F136,2014,0
2011,RDT&E,604800,F136,0,F136,2015,0
2012,RDT&E,604800,F136,0,F136,2010,415.918
2012,RDT&E,604800,F136,0,F136,2011,0
2012,RDT&E,604800,F136,0,F136,2012,0
2012,RDT&E,604800,F136,0,F136,2013,0
2012,RDT&E,604800,F136,0,F136,2014,0
2012,RDT&E,604800,F136,0,F136,2015,0
2012,RDT&E,604800,F136,0,F136,2016,0
2013,RDT&E,604800,F136,0,F136,2011,69.288
2013,RDT&E,604800,F136,0,F136,2012,0
2013,RDT&E,604800,F136,0,F136,2013,0
2013,RDT&E,604800,F136,0,F136,2014,0
2013,RDT&E,604800,F136,0,F136,2015,0
2013,RDT&E,604800,F136,0,F136,2016,0
2013,RDT&E,604800,F136,0,F136,2017,0
2014,RDT&E,604800,F136,0,F136,2012,5
2014,RDT&E,604800,F136,0,F136,2013,0
2014,RDT&E,604800,F136,0,F136,2014,0
2014,RDT&E,604800,F136,0,F136,2015,0
2014,RDT&E,604800,F136,0,F136,2016,0
2014,RDT&E,604800,F136,0,F136,2017,0
2014,RDT&E,604800,F136,0,F136,2018,0
2015,RDT&E,604800,F136,0,F136,2013,0
2015,RDT&E,604800,F136,0,F136,2014,0
2015,RDT&E,604800,F136,0,F136,2015,0
2015,RDT&E,604800,F136,0,F136,2016,0
2015,RDT&E,604800,F136,0,F136,2017,0
2015,RDT&E,604800,F136,0,F136,2018,0
2015,RDT&E,604800,F136,0,F136,2019,0
2016,RDT&E,604800,F136,0,F136,2014,0
2016,RDT&E,604800,F136,0,F136,2015,0
2016,RDT&E,604800,F136,0,F136,2016,0
2016,RDT&E,604800,F136,0,F136,2017,0
2016,RDT&E,604800,F136,0,F136,2018,0
2016,RDT&E,604800,F136,0,F136,2019,0
2016,RDT&E,604800,F136,0,F136,2020,0
2017,RDT&E,604800,F136,0,F136,2015,0
2017,RDT&E,604800,F136,0,F136,2016,0
2017,RDT&E,604800,F136,0,F136,2017,0
2017,RDT&E,604800,F136,0,F136,2018,0
2017,RDT&E,604800,F136,0,F136,2019,0
2017,RDT&E,604800,F136,0,F136,2020,0
2017,RDT&E,604800,F136,0,F136,2021,0
2018,RDT&E,604800,F136,0,F136,2016,0
2018,RDT&E,604800,F136,0,F136,2017,0
2018,RDT&E,604800,F136,0,F136,2018,0
2018,RDT&E,604800,F136,0,F136,2019,0
2018,RDT&E,604800,F136,0,F136,2020,0
2018,RDT&E,604800,F136,0,F136,2021,0
2018,RDT&E,604800,F136,0,F136,2022,0
2019,RDT&E,604800,F136,0,F136,2017,0
2019,RDT&E,604800,F136,0,F136,2018,0
2019,RDT&E,604800,F136,0,F136,2019,0
2019,RDT&E,604800,F136,0,F136,2020,0
2019,RDT&E,604800,F136,0,F136,2021,0
2019,RDT&E,604800,F136,0,F136,2022,0
2019,RDT&E,604800,F136,0,F136,2023,0
